On February 11 , FireEye identified a zero-day exploit ( CVE-2014-0322 ) being served up from the U.S. Veterans of Foreign Wars ' website ( vfw [ . ] org ) .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O

We believe the attack is a strategic Web compromise targeting American military personnel amid a paralyzing snowstorm at the U.S. Capitol in the days leading up to the Presidents Day holiday weekend .

Based on infrastructure overlaps and tradecraft similarities , we believe the actors behind this campaign are associated with two previously identified campaigns ( Operation DeputyDog and Operation Ephemeral Hydra ) .

This blog post examines the vulnerability and associated attacks , which we have dubbed '' Operation SnowMan .

'' After compromising the VFW website , the attackers added an iframe into the beginning of the website's HTML code that loads the attacker 's page in the background .

The attacker 's HTML/JavaScript page runs a Flash object , which orchestrates the remainder of the exploit .

The exploit includes calling back to the IE 10 vulnerability trigger , which is embedded in the JavaScript .

Specifically , visitors to the VFW website were silently redirected through an iframe to the exploit at www. [ REDACTED ] .com/Data/img/img.html .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Modifier	O
0	4	TOKEN0,Entity	O
0	5	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Modifier	O
1	4	Entity,Entity	O
1	5	Entity,Modifier	O
1	6	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Modifier	ActionMod
2	4	Action,Entity	O
2	5	Action,Modifier	O
2	6	Action,Entity	O
3	1	Modifier,Entity	O
3	4	Modifier,Entity	ModObj
3	4	Modifier,Entity	O
3	5	Modifier,Modifier	O
3	6	Modifier,Entity	O
4	1	Entity,Entity	O
4	2	Entity,Action	O
4	3	Entity,Modifier	O
4	5	Entity,Modifier	O
4	6	Entity,Entity	O
5	1	Modifier,Entity	O
5	2	Modifier,Action	O
5	3	Modifier,Modifier	O
5	6	Modifier,Entity	ModObj
5	6	Modifier,Entity	O
6	1	Entity,Entity	O
6	2	Entity,Action	O
6	3	Entity,Modifier	O
6	4	Entity,Entity	O
6	5	Entity,Modifier	O

The exploit targets IE 10 with Adobe Flash .

It aborts exploitation if the user is browsing with a different version of IE or has installed Microsoft 's Experience Mitigation Toolkit ( EMET ) .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
0	4	TOKEN0,Modifier	O
1	2	Entity,Action	SubjAction
1	2	Entity,Action	O
1	3	Entity,Entity	O
1	4	Entity,Modifier	O
1	5	Entity,Entity	O
2	1	Action,Entity	ActionObj
2	3	Action,Entity	ActionObj
2	4	Action,Modifier	O
2	5	Action,Entity	O
3	1	Entity,Entity	O
3	2	Entity,Action	O
3	4	Entity,Modifier	O
3	5	Entity,Entity	O
4	1	Modifier,Entity	O
4	2	Modifier,Action	O
4	5	Modifier,Entity	ModObj
4	5	Modifier,Entity	O
5	1	Entity,Entity	O
5	2	Entity,Action	O
5	3	Entity,Entity	O
5	4	Entity,Modifier	O

So installing EMET or updating to IE 11 prevents this exploit from functioning .

The vulnerability is a previously unknown use-after-free bug in Microsoft Internet Explorer 10 .

The vulnerability allows the attacker to modify one byte of memory at an arbitrary address .
0	1	TOKEN0,Entity	O
0	2	TOKEN0,Action	O
0	3	TOKEN0,Entity	O
