#	MalwareTextDB-1.0/data/ann+brown/AdversaryIntelligenceReport_DeepPanda_0 (1).txtcbn
In	IN	0101000	O
late	JJ	01111101011	O
December	NNP	01111101001	O
2011	CD	011111100110	O
,	,	1011100	O
CrowdStrike	NNP	11101110101	O
,	,	1011100	O
Inc.	NNP	1011111111100111	O
received	VBD	10100101101101	O
three	CD	11111001101	O
binary	JJ	001011010100	O
executable	JJ	001001111100	O
files	NNS	0011011110	O
that	WDT	101111110	O
were	VBD	101101000	O
suspected	VBN	1010010110010	O
of	IN	1000	O
having	VBG	10111111111100	O
been	VBN	10101101	O
involved	VBN	101001110110	O
in	IN	100110	O
a	DT	11001	O
sophisticted	JJ	X	O
attack	NN	00101011100	O
against	IN	10010110111	O
a	DT	11001	O
large	JJ	1111000110011	O
Fortune	NN	01111101000	O
500	CD	0111111111111	O
company	NN	0011000010	O
.	.	0110	O
The	DT	010000	O
files	NNS	0011011110	O
were	VBD	101101000	O
analyzed	VBN	1010010110100	O
to	TO	101100	O
understand	VB	101010011101	O
first	RB	1111010100	O
if	IN	101111111111110	O
they	PRP	10111100110	O
were	VBD	101101000	O
in	IN	100110	O
fact	NN	00001101	O
malicious	JJ	1111011111000	O
,	,	1011100	O
and	CC	101110111	O
the	DT	11010	O
level	NN	000110010	O
of	IN	1000	O
sophistication	NN	0001110101	O
of	IN	1000	O
the	DT	11010	O
samples	NNS	0011011100	O
.	.	0110	O
The	DT	010000	O
samples	NNS	0011011100	O
were	VBD	101101000	O
clearly	RB	1010111011011	O
malicious	JJ	1111011111000	O
and	CC	101110111	O
varied	JJ	1010010111000	O
in	IN	100110	O
sophistication	NN	0001110101	O
.	.	0110	O
All	DT	0100111110	B-Entity
three	CD	11111001101	I-Entity
samples	NNS	0011011100	I-Entity
provided	VBD	101001100001	B-Verb
remote	JJ	11110111111100	B-Entity
access	NN	10100011010	I-Entity
to	TO	101100	B-Preposition
the	DT	11010	B-Entity
attacker	NN	00101111100	I-Entity
,	,	1011100	O
via	IN	100101111011	B-Preposition
two	CD	11111001100	B-Entity
Command	NN	011110110100	I-Entity
and	CC	101110111	I-Entity
Control	NN	1110001011	I-Entity
(	NN	01111000	I-Entity
C2	NN	1111011011000	I-Entity
)	NN	011110100	I-Entity
servers	NNS	00111010	I-Entity
.	.	0110	O
One	CD	010011101	B-Entity
sample	NN	0010100000	I-Entity
is	VBZ	101101010	O
typical	JJ	1111000111010	O
of	IN	1000	O
what	WP	1011111111111001	O
is	VBZ	101101010	O
commonly	RB	1010111110011	O
referred	VBN	10100010100	O
to	TO	101100	O
as	IN	10111111110	O
a	DT	11001	O
'dropper	NN	X	O
'	''	0111101010	O
because	IN	1011111111111111	O
its	PRP$	11011101	O
primary	JJ	11110101100	O
purpose	NN	00011111011	O
is	VBZ	101101010	O
to	TO	101100	O
write	VB	10101011111001	B-Verb
a	DT	11001	B-Entity
malicious	JJ	1111011111000	I-Entity
component	NN	00101000011	I-Entity
to	TO	101100	B-Preposition
disk	NN	11100111111	B-Entity
and	CC	101110111	O
connect	VB	101000111101	O
it	PRP	101111010	O
to	TO	101100	O
the	DT	11010	O
targeted	VBN	1110000100	O
hosts	NNS	001100110010	O
operating	VBG	111000111111	O
system	NN	001000000	O
.	.	0110	O
The	DT	010000	O
malicious	JJ	1111011111000	O
component	NN	00101000011	O
in	IN	100110	O
this	DT	110110	O
case	NN	00001100	O
is	VBZ	101101010	O
what	WP	1011111111111001	O
is	VBZ	101101010	O
commonly	RB	1010111110011	O
referred	VBN	10100010100	O
to	TO	101100	O
as	IN	10111111110	O
a	DT	11001	O
Remote	JJ	1110110101	O
Access	NN	0111101101100	O
Tool	NNP	011110110000	O
(	NNP	01111000	O
RAT	NNP	1110010010	O
)	NNP	011110100	O
,	,	1011100	O
this	DT	110110	O
RAT	NN	1110010010	O
is	VBZ	101101010	O
manifested	VBN	X	O
as	IN	10111111110	O
a	DT	11001	B-Entity
Dynamic	NNP	111100010001	I-Entity
Link	NNP	11110011110	I-Entity
Library	NNP	011110110000	I-Entity
(	FW	01111000	I-Entity
DLL	FW	00101101110	I-Entity
)	FW	011110100	I-Entity
installed	VBN	101001011111101	B-Verb
as	IN	10111111110	B-Preposition
a	DT	11001	B-Entity
service	NN	001001111110	I-Entity
.	.	0110	O
The	DT	010000	O
second	JJ	11110101010	O
sample	NN	0010100000	O
analyzed	VBN	1010010110100	O
is	VBZ	101101010	O
a	DT	11001	O
dual	JJ	X	O
use	NN	10101011100	O
tool	NN	001010001110	O
that	WDT	101111110	O
can	MD	10110111110	O
function	VB	001010110111	O
both	DT	11111011010	O
as	IN	10111111110	O
a	DT	11001	B-Entity
post	NN	001010111101	I-Entity
exploitation	NN	111000011110	I-Entity
tool	NN	001010001110	I-Entity
used	VBN	1010011010	O
to	TO	101100	O
infect	VB	101010011001	B-Verb
other	JJ	111110010	B-Entity
systems	NNS	00110011000	I-Entity
,	,	1011100	O
download	VB	10101011111010	B-Verb
additional	JJ	111101111110110	B-Entity
tools	NNS	0011001111011	I-Entity
,	,	1011100	O
remove	VB	10101001011	B-Verb
log	NN	00100110011	B-Entity
data	NNS	001111001	I-Entity
,	,	1011100	O
and	CC	101110111	O
itself	PRP	10111111100010	B-Entity
be	VB	10101100	B-Verb
used	VBN	1010011010	I-Verb
as	IN	10111111110	B-Preposition
a	DT	11001	B-Entity
